type,name,has_yaml,has_function_py,has_config_default,description,source,depends_on,required,configured,notes
skill,memory_extract,True,N/A,False,"Extract important information from the current conversation and persist it as long-term memory. Invoke after each assistant response when the conversation reveals user preferences, personal information, or other worth-remembering facts.",system,,,True,
skill,memory_management,True,N/A,True,"Comprehensive guide for ARF's long-term memory system. Read this to understand the dual memory architecture, learn when and how to extract memories after conversations, and how to compress memories when storage fills up.",system,"[{'type': 'model', 'name': 'quick_thinking'}]",False,True,
skill,model_configurator,True,N/A,True,Configure models — add new model configs or modify existing ones,system,[],False,True,
skill,model_manager,True,N/A,True,Manage models — soft delete and restore,system,[],False,True,
skill,model_switch,True,N/A,True,Runtime model switching — choose the right model for the task complexity,system,[],False,True,
skill,rag_operator,False,N/A,True,,system,"[{'type': 'model', 'name': 'embedding'}, {'type': 'model', 'name': 'rerank'}]",False,True,CONFIG_STUB: no skill.yaml
skill,resource_scaffold,True,N/A,True,Generate a new Tool or Skill resource from requirements,system,[],False,True,
skill,skill_generator,True,N/A,True,Generate new Skill definitions from user requirements,system,[],False,True,
skill,skill_manager,True,N/A,True,Manage skills — soft delete and restore,system,[],False,True,
skill,tool_generator,True,N/A,True,Generate new Tool definitions and implementations from user requirements,system,[],False,True,
skill,tool_manager,True,N/A,True,Manage tools — soft delete and restore,system,[],False,True,
skill,validate_tool,True,N/A,False,Validate a newly created tool by checking structure and dry-running,system,,,True,
model,deep_thinking,N/A,N/A,True,深度思考模型，用于复杂推理、代码生成等核心任务，是系统的必备模型,system,[],True,False,model_type=deep_thinking context_window=1048576
model,embedding,N/A,N/A,True,嵌入模型，用于文本向量化，是 RAG 的依赖项,system,[],False,False,model_type=embedding context_window=
model,quick_no_thinking,N/A,N/A,True,无思考快速模型，用于会话初始响应，不进行内部推理,system,[],False,False,model_type=quick_no_thinking context_window=1048576
model,quick_thinking,N/A,N/A,True,快速思考模型，用于简单总结和摘要任务,system,[],False,False,model_type=quick_thinking context_window=1048576
model,rerank,N/A,N/A,True,重排序模型，用于对检索结果进行精排，是 RAG 的依赖项,system,[],False,False,model_type=rerank context_window=
model,stt,N/A,N/A,True,语音识别模型（Speech-to-Text），用于语音理解的依赖项,system,[],False,False,model_type=stt context_window=
model,tts,N/A,N/A,True,文字转语音模型（Text-to-Speech），用于语音输出的依赖项,system,[],False,False,model_type=tts context_window=
model,vision,N/A,N/A,True,视觉模型，用于图片理解的依赖项,system,[],False,False,model_type=vision context_window=
model,vlm,N/A,N/A,True,视觉语言模型，用于图片理解和 OCR 等视觉任务的依赖项,system,[],False,False,model_type=vlm context_window=
